TINWSYS_IS_NUMBER,WATER_SYSTEM_NUMBER,SYSTEM_NAME,REGULATING_AGENCY,COUNTY,FEDERAL_CLASSIFICATION_TYPE,SERVICE_CONNECTIONS,POPULATION,OWNER_TYPE,PL_ADDRESS,PL_ADDRESS_CITY_NAME,PL_ADDRESS_STATE_CODE,PL_ADDRESS_ZIP_CODE,LATITUDE_MEASURE,LONGITUDE_MEASURE,SERVICE_AREA_ECONOMIC_STATUS,MHI,CALENVIRO_SCREEN_SCORE,RISK_ASSESSMENT_RESULT,CURRENT_FAILING,FINAL_SAFER_STATUS,FAILING_START_DATE,PRIMARY_MCL_VIOLATION,PRIMARY_ANALYTE_1,PRIMARY_ANALYTE_2,PRIMARY_ANALYTE_3,PRIMARY_ANALYTE_4,PRIMARY_ANALYTE_5,SECONDARY_MCL_VIOLATION,SECONDARY_ANALYTE_1,SECONDARY_ANALYTE_2,SECONDARY_ANALYTE_3,SECONDARY_ANALYTE_4,E_COLI_VIOLATION,E_COLI_ANALYTES,TREATMENT_TECHNIQUE_VIOLATION,TT_ANALYTES,MONITORING_AND_REPORTING_VIOLATION,MONITORING_AND_REPORTING_ANALYTES,SOURCE_CAPACITY_VIOLATION,SOURCE_CAPACITY_ANALYTES,TOTAL_WEIGHTED_RISK_SCORE_BEFORE_DIVIDING_BY_CATEGORY_COUNT,WEIGHTED_WATER_QUALITY_SCORE,WATER_QUALITY_SCORE,WATER_QUALITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,WATER_QUALITY_RISK_LEVEL,WEIGHTED_ACCESSIBILITY_SCORE,ACCESSIBILITY_SCORE,ACCESSIBILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,ASSESSIBILITY_RISK_LEVEL,WEIGHTED_AFFORDABILITY_SCORE,AFFORDABILITY_SCORE,AFFORDABILITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,AFFORDABILITY_RISK_LEVEL,WEIGHTED_TMF_CAPACITY_SCORE,TMF_CAPACITY_SCORE,TMF_CAPACITY_PERCENTAGE_OF_TOTAL_RISK_SCORE,TMF_CAPACITY_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL,HISTORY_OF_E_COLI_PRESENCE_THRESHOLD_MET,HISTORY_OF_E_COLI_PRESENCE_RAW_SCORE,HISTORY_OF_E_COLI_PRESENCE_WEIGHTED_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RISK_LEVEL,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_THRESHOLD_MET,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_RAW_SCORE,INCREASING_PRESENCE_OF_WATER_QUALITY_TRENDS_TOWARD_MCL_WEIGHTED_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL,TREATMENT_TECHNIUQE_VIOLATIONS_THRESHOLD_MET,TREATMENT_TECHNIUQE_VIOLATIONS_RAW_SCORE,TREATMENT_TECHNIUQE_VIOLATIONS_WEIGHTED_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_RISK_LEVEL,PAST_PRESENCE_ON_THE_FAILING_LIST_THRESHOLD_MET,PAST_PRESENCE_ON_THE_FAILING_LIST_RAW_SCORE,PAST_PRESENCE_ON_THE_FAILING_LIST_WEIGHTED_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL,CONSTITUENTS_OF_EMERGING_CONCERN_THRESHOLD_MET,CONSTITUENTS_OF_EMERGING_CONCERN_RAW_SCORE,CONSTITUENTS_OF_EMERGING_CONCERN_WEIGHTED_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL,MIN_PCT_OF_SOURCES_EXCEED_MCL_THRESHOLD_MET,MAX_PCT_OF_SOURCES_EXCEED_MCL_THRESHOLD_MET,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RAW_SCORE,PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_WEIGHTED_SCORE,NUMBER_OF_WATER_SOURCES_RISK_LEVEL,NUMBER_OF_WATER_SOURCES_THRESHOLD_MET,NUMBER_OF_WATER_SOURCES_RAW_SCORE,NUMBER_OF_WATER_SOURCES_WEIGHTED_RAW_SCORE,ABESENCE_OF_INTERTIES_RISK_LEVEL,ABESENCE_OF_INTERTIES_THRESHOLD_MET,ABESENCE_OF_INTERTIES_RAW_SCORE,ABESENCE_OF_INTERTIES_WEIGHTED_SCORE,SOURCE_CAPACITY_VIOLATION_RISK_LEVEL,SOURCE_CAPACITY_VIOLATIONS_THRESHOLD_MET,SOURCE_CAPACITY_VIOLATIONS_RAW_SCORE,SOURCE_CAPACITY_VIOLATIONS_WEIGHTED_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_THRESHOLD_MET,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RAW_SCORE,BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_WEIGHTED_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RISK_LEVEL,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_THRESHOLD_MET,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_RAW_SCORE,DWR_DROUGHT_AND_WATER_SHORTAGE_RISK_ASSESSMENT_PERCENTILE_WEIGHTED_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RISK_LEVEL,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_THRESHOLD_MET,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_RAW_SCORE,CRITICALLY_OVERDRAFTED_GROUNDWATER_BASIN_WEIGHTED_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RAW_SCORE,PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_WEIGHTED_SCORE,EXTREME_WATER_BILL_RISK_LEVEL,EXTREME_WATER_BILL_THRESHOLD_MET,EXTREME_WATER_BILL_RAW_SCORE,EXTREME_WATER_BILL_WEIGHTED_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RISK_LEVEL,HOUSEHOLD_SOCIOECONOMIC_BURDEN_THRESHOLD_MET,HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE,HOUSEHOLD_SOCIOECONOMIC_BURDEN_WEIGHTED_SCORE,TOTAL_NET_ANNUAL_INCOME_RISK_LEVEL,TOTAL_NET_ANNUAL_INCOME_THRESHOLD_MET,TOTAL_NET_ANNUAL_INCOME_RAW_SCORE,TOTAL_NET_ANNUAL_INCOME_WEIGHTED_SCORE,OPERATING_RATIO_RISK_LEVEL,OPERATING_RATIO_THRESHOLD_MET,OPERATING_RATIO_RAW_SCORE,OPERATING_RATIO_WEIGHTED_SCORE,DAYS_CASH_ON_HAND_RISK_LEVEL,DAYS_CASH_ON_HAND_THRESHOLD_MET,DAYS_CASH_ON_HAND_RAW_SCORE,DAYS_CASH_ON_HAND_WEIGHTED_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL,OPERATOR_CERTIFICATION_VIOLATIONS_THRESHOLD_MET,OPERATOR_CERTIFICATION_VIOLATIONS_RAW_SCORE,OPERATOR_CERTIFICATION_VIOLATIONS_WEIGHTED_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL,MONITORING_AND_REPORTING_VIOLATIONS_THRESHOLD_MET,MONITORING_AND_REPORTING_VIOLATIONS_SCORE,MONITORING_AND_REPORTING_VIOLATIONS_WEIGHTED_SCORE,SIGNIFICANT_DEFICIENCIES_RISK_LEVEL,SIGNIFICANT_DEFICIENCIES_THRESHOLD_MET,SIGNIFICANT_DEFICIENCIES_RAW_SCORE,SIGNIFICANT_DEFICIENCIES_WEIGHTED_SCORE,FUNDING_RECEIVED_SINCE_2017,TECHNICAL_ASSISTANCE_FUNDING_SINCE_2017,REGIONAL_BOARD,AUTOMATICALLY_AT_RISK_REASON,CREATED_DATE,TOTAL_PRIMARY_ANALYTES,TOTAL_SECONDARY_ANALYTES,TOTAL_E_COLI_ANALYTES
3,CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,19,50,PRIVATE,8653 NORRIS CANYON ROAD,CASTRO VALLEY,CA,94552,37.734364,-122.027303,Non-DAC,130464,13.969586080979,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,0.67,0.00,0.00,0.00,NONE,0.33,0.17,0.49,LOW,0.17,0.17,0.25,LOW,0.17,0.08,0.25,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,HIGH,No intertie,1,1,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,MEDIUM,Equal to or greater than 150% AND less than 200% of statewide average,0.5,0.50,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NA,NA,0.5,0.50,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
4,CA0103041,TRAILER HAVEN MOBILE HOME PARK,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,191,459,PRIVATE,2399 E 14TH ST,SAN LEANDRO,CA,94577-6058,37.715083,-122.146916,DAC,61897,31.3849712377491,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.34,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.67,0.67,0.50,MEDIUM,0.67,0.33,0.50,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,1 or more interties,0,0,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
18,CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,207,524,LOCAL,707 COUNTRY CLUB CIRCLE,PLEASANTON,CA,94566,37.368848,-121.913031,Non-DAC,178706,10.0744524552284,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.00,0.00,0.00,0.00,NONE,1.00,0.50,0.50,MEDIUM,0.00,0.00,0.00,NONE,1.00,0.50,0.50,MEDIUM,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,HIGH,1,1,3,NONE,1 or more interties,0,0,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,HIGH,Less than 1,1,1.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,3000000,830.93,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
19,CA0105009,MOUNTAIN HOUSE SCHOOL,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,NON-TRANSIENT NON-COMMUNITY,1,50,LOCAL,3950 MOUNTAIN HOUSE ROAD,BYRON,CA,94514,37.787218,-121.57868,Non-DAC,140487,16.3819974683625,At-Risk,Not Failing,At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.50,0.00,0.00,0.00,NONE,2.50,1.25,1.00,HIGH,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,VERY HIGH,0,1,3,HIGH,No intertie,1,1,NONE,0,0,0,VERY HIGH,1+,1,3,LOW,Top 25% of systems most at risk of drought and water shortage,0.25,0.50,NONE,0,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,Systems serving military bases; NTNC systems that are K-12 schools,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,274408,0,Region 5 Central Valley (Sacramento Office),BOTTLED OR HAULED WATER,2026-05-17,NA,NA,NA
29,CA0110001,ALAMEDA COUNTY WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,86959,344000,LOCAL,43885 S GRIMMER BLVD,FREMONT,CA,94538,37.537762,-122.019898,Non-DAC,157713,21.844306424367,NA,Not Failing,NA,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
30,CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,18595,60414,PRIVATE,195 S N ST,LIVERMORE,CA,94550-4350,37.674081,-121.773454,Non-DAC,148653,13.4832493648639,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.50,1.50,0.50,1.00,MEDIUM,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,3.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,Not Applicable,0,0,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
31,CA0110005,EAST BAY MUD,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,392875,1442800,LOCAL,375 ELEVENTH STREET,OAKLAND,CA,94607,37.900147,-122.299454,Non-DAC,132174,18.3369886254808,NA,Not Failing,NA,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26043066,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
32,CA0110006,CITY OF HAYWARD,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,36641,162954,LOCAL,777 B ST,HAYWARD,CA,94541-5007,37.645,-122.078752,Non-DAC,109180,26.8680676445056,NA,Not Failing,NA,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
33,CA0110008,CITY OF PLEASANTON,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,22334,76689,LOCAL,3333 Busch Road,PLEASANTON,CA,94566-8455,37.661605,-121.886427,Non-DAC,176277,10.5447168280165,Not At-Risk,Failing,Failing,2025-09-09,YES,TOTAL HALOACETIC ACIDS (HAA5), TTHM,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.00,2.00,0.67,1.00,HIGH,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,MEDIUM,1,0.5,1.0,HIGH,25% or more sources meeting the criteria (score range: 0.5 < n <= 1),1.00,3.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,Not Applicable,0,0,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,1000000,0,Region 2 San Francisco,NA,2026-05-17,2,NA,NA
34,CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,25458,98776,LOCAL,7051 DUBLIN BLVD.,DUBLIN,CA,94568,37.731683,-121.899725,Non-DAC,194999,9.50999826707037,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,0.00,0.00,0.00,0,NONE,0.00,0.00,0,NONE,0.00,0.00,0,NONE,0.00,0.00,0,NONE,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,Not Applicable,0,0,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
35,CA0110010,ZONE 7 WATER AGENCY,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,12,40,LOCAL,100 N CANYONS PKWY,LIVERMORE,CA,94551-9486,37.633267,-121.735897,Non-DAC,168043,12.628926309318,NA,Not Failing,NA,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
36,CA0110011,CITY OF LIVERMORE,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,9958,38892,LOCAL,101 W JACK LONDON BLVD,LIVERMORE,CA,94551-7632,37.716502,-121.763702,Non-DAC,148661,14.0237142980054,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,0.33,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.00,0.00,0.00,NONE,0.33,0.17,1.00,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,NONE,2+,0,0,NONE,1 or more interties,0,0,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,NONE,Greater than $0,0,0.00,NONE,1 or greater,0,0.00,HIGH,Less than 1,1,1.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
37,CA0110012,TOWN OF SUNOL - SFPUC,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,102,281,LOCAL,"SF PUBLIC UTILITIES COMMISSION, STATE HWY 84/PLEASANTON SUNOL ROAD",SUNOL,CA,94586,37.60018,-121.887875,Non-DAC,167250,6.41665021246749,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,1.33,0.00,0.00,0.00,NONE,1.00,0.50,0.75,MEDIUM,0.00,0.00,0.00,NONE,0.33,0.17,0.25,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,HIGH,1,1,3,NONE,1 or more interties,0,0,NONE,0,0,0,NONE,0,0,0,NA,NA,NA,NA,NONE,0,0,0,NONE,Less than 1.5%,0,0.00,NONE,Below 150% of statewide average,0,0.00,NONE,Combined score of 0 - 0.125,0,0.00,HIGH,Less than $0,1,1.00,NONE,1 or greater,0,0.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
41,CA0110016,ALAMEDA POINT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,378,1400,LOCAL,"ALAMEDA POINT, 250 MALL SQAURE",ALAMEDA,CA,94501,37.784265,-122.310715,SDAC,14094,41.7994030133841,Not At-Risk,Not Failing,Not At-Risk,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,2.34,0.00,0.00,0.00,NONE,1.00,0.50,0.43,MEDIUM,0.67,0.67,0.29,MEDIUM,0.67,0.33,0.29,LOW,NONE,NO,0,0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,NO,0,0,NONE,0,0.0,0.0,NONE,Less than 25% sources meeting the criteria,0.00,0.00,NONE,0,49,0,0,HIGH,1,1,3,NONE,1 or more interties,0,0,NONE,0,0,0,NONE,0,0,0,NONE,Below top 25% of systems most at risk of drought and water shortage,0.00,0.00,NONE,0,0,0,NONE,System does not charge customers directly for water,0,0.00,NONE,System does not charge customers directly for water,0,0.00,HIGH,Combined score of 0.625 - 1.0,1,2.00,HIGH,Less than $0,1,1.00,HIGH,Less than 1,1,1.00,NONE,1 or greater,0,0.00,NONE,No Operator Certification violations over the last three years,0,0.0,NONE,Less than 2 violations,0,0.0,NONE,0,0,0.0,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
43,CA0110018,SFPUC-PLEASANTON WELLS,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,COMMUNITY,1,1,LOCAL,VALLEY AVENUE,PLEASANTON,CA,94566,37.634866,-121.893871,Non-DAC,178226,9.51399252289364,NA,Not Failing,NA,NA,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Region 2 San Francisco,NA,2026-05-17,NA,NA,NA
